university,origin,checked_at,http_status,allowed_root,crawl_delay,disallowed_paths,has_sitemap,robots_bytes,error
東京大学,https://www.u-tokyo.ac.jp,2026-07-09,200,True,,,True,129,
京都大学,https://www.kyoto-u.ac.jp,2026-07-09,200,True,,,False,1950,
一橋大学,https://www.hit-u.ac.jp,2026-07-09,200,True,,,False,129,
東京科学大学,https://www.isct.ac.jp,2026-07-09,200,True,,,True,64,
大阪大学,https://www.osaka-u.ac.jp,2026-07-09,200,True,,,True,832,
名古屋大学,https://www.nagoya-u.ac.jp,2026-07-09,404,True,,,False,0,
東北大学,https://www.tohoku.ac.jp,2026-07-09,200,True,,,False,166,
九州大学,https://www.kyushu-u.ac.jp,2026-07-09,404,True,,,False,0,
北海道大学,https://www.hokudai.ac.jp,2026-07-09,200,True,,,False,0,
神戸大学,https://www.kobe-u.ac.jp,2026-07-09,200,True,,,False,88,
早稲田大学,https://www.waseda.jp,2026-07-09,403,False,,,False,0,
慶應義塾大学,https://www.keio.ac.jp,2026-07-09,404,True,,,False,0,
上智大学,https://www.sophia.ac.jp,2026-07-09,200,True,,,True,114,
明治大学,https://www.meiji.ac.jp,2026-07-09,404,True,,,False,0,
青山学院大学,https://www.aoyama.ac.jp,2026-07-09,200,True,,,True,163,
立教大学,https://www.rikkyo.ac.jp,2026-07-09,200,True,,,True,1981,
中央大学,https://www.chuo-u.ac.jp,2026-07-09,200,True,,,False,217,
法政大学,https://www.hosei.ac.jp,2026-07-09,404,True,,,False,0,
同志社大学,https://www.doshisha.ac.jp,2026-07-09,403,False,,,False,0,
立命館大学,https://www.ritsumei.ac.jp,2026-07-09,200,True,,,False,34,
関西学院大学,https://www.kwansei.ac.jp,2026-07-09,404,True,,,False,0,
関西大学,https://www.kansai-u.ac.jp,2026-07-09,200,True,,,False,303,
